target_word,word_length,is_in_vocabulary,apply_jitter,sample_index,pred_hier_greedy,correct_hier_greedy,pred_hier_beam,correct_hier_beam,pred_flat_greedy,correct_flat_greedy,pred_flat_beam,correct_flat_beam,flat_rescued,flat_hurt
BAKI,4,True,False,0,BAKI,True,BAKI,True,BAKI,True,BAKI,True,False,False
BAKI,4,True,False,1,BAKI,True,BAKI,True,BAKI,True,BAKI,True,False,False
BAKI,4,True,False,2,BAKI,True,BAKI,True,BAKI,True,BAKI,True,False,False
BAKI,4,True,False,3,BAKI,True,BAKI,True,BAKI,True,BAKI,True,False,False
BAKI,4,True,False,4,BAKI,True,BAKI,True,BAKI,True,BAKI,True,False,False
SALAM,5,True,False,0,SALAM,True,SALAM,True,SALAM,True,SALAM,True,False,False
SALAM,5,True,False,1,SALAM,True,SALAM,True,SALAM,True,SALAM,True,False,False
SALAM,5,True,False,2,SALAM,True,SALAM,True,SALAM,True,SALAM,True,False,False
SALAM,5,True,False,3,SALAM,True,SALAM,True,SALAM,True,SALAM,True,False,False
SALAM,5,True,False,4,SALAM,True,SALAM,True,SALAM,True,SALAM,True,False,False
GÜL,3,True,False,0,GÜL,True,GÜL,True,GÜL,True,GÜL,True,False,False
GÜL,3,True,False,1,GÜL,True,GÜL,True,GÜL,True,GÜL,True,False,False
GÜL,3,True,False,2,GÜL,True,GÜL,True,GÜL,True,GÜL,True,False,False
GÜL,3,True,False,3,GÜL,True,GÜL,True,GÜL,True,GÜL,True,False,False
GÜL,3,True,False,4,GÜL,True,GÜL,True,GÜL,True,GÜL,True,False,False
DƏNİZ,5,True,False,0,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,False,False
DƏNİZ,5,True,False,1,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,False,False
DƏNİZ,5,True,False,2,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,False,False
DƏNİZ,5,True,False,3,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,False,False
DƏNİZ,5,True,False,4,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,DƏNİZ,True,False,False
KİTAB,5,True,False,0,KİTAB,True,KİTAB,True,KİTAB,True,KİTAB,True,False,False
KİTAB,5,True,False,1,KİTAB,True,KİTAB,True,KİTAB,True,KİTAB,True,False,False
KİTAB,5,True,False,2,KİTAB,True,KİTAB,True,KİTAB,True,KİTAB,True,False,False
KİTAB,5,True,False,3,KİTAB,True,KİTAB,True,KİTAB,True,KİTAB,True,False,False
KİTAB,5,True,False,4,KİTAB,True,KİTAB,True,KİTAB,True,KİTAB,True,False,False
ANA,3,True,False,0,ANA,True,ANA,True,ANA,True,ANA,True,False,False
ANA,3,True,False,1,ANA,True,ANA,True,ANA,True,ANA,True,False,False
ANA,3,True,False,2,ANA,True,ANA,True,ANA,True,ANA,True,False,False
ANA,3,True,False,3,ANA,True,ANA,True,ANA,True,ANA,True,False,False
ANA,3,True,False,4,ANA,True,ANA,True,ANA,True,ANA,True,False,False
BİZ,3,True,False,0,BİZ,True,BİZ,True,BİZ,True,BİZ,True,False,False
BİZ,3,True,False,1,BİZ,True,BİZ,True,BİZ,True,BİZ,True,False,False
BİZ,3,True,False,2,BİZ,True,BİZ,True,BİZ,True,BİZ,True,False,False
BİZ,3,True,False,3,BİZ,True,BİZ,True,BİZ,True,BİZ,True,False,False
BİZ,3,True,False,4,BİZ,True,BİZ,True,BİZ,True,BİZ,True,False,False
ŞƏHƏR,5,True,False,0,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,False,False
ŞƏHƏR,5,True,False,1,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,False,False
ŞƏHƏR,5,True,False,2,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,False,False
ŞƏHƏR,5,True,False,3,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,False,False
ŞƏHƏR,5,True,False,4,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,ŞƏHƏR,True,False,False
DOST,4,True,False,0,DOST,True,DOST,True,DOST,True,DOST,True,False,False
DOST,4,True,False,1,DOST,True,DOST,True,DOST,True,DOST,True,False,False
DOST,4,True,False,2,DOST,True,DOST,True,DOST,True,DOST,True,False,False
DOST,4,True,False,3,DOST,True,DOST,True,DOST,True,DOST,True,False,False
DOST,4,True,False,4,DOST,True,DOST,True,DOST,True,DOST,True,False,False
ALMA,4,True,False,0,ALMA,True,ALMA,True,ALMA,True,ALMA,True,False,False
ALMA,4,True,False,1,ALMA,True,ALMA,True,ALMA,True,ALMA,True,False,False
ALMA,4,True,False,2,ALMA,True,ALMA,True,ALMA,True,ALMA,True,False,False
ALMA,4,True,False,3,ALMA,True,ALMA,True,ALMA,True,ALMA,True,False,False
ALMA,4,True,False,4,ALMA,True,ALMA,True,ALMA,True,ALMA,True,False,False
ÇÖRƏK,5,True,False,0,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,False,False
ÇÖRƏK,5,True,False,1,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,False,False
ÇÖRƏK,5,True,False,2,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,False,False
ÇÖRƏK,5,True,False,3,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,False,False
ÇÖRƏK,5,True,False,4,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,ÇÖRƏK,True,False,False
PUL,3,True,False,0,PUL,True,PUL,True,PUL,True,PUL,True,False,False
PUL,3,True,False,1,PUL,True,PUL,True,PUL,True,PUL,True,False,False
PUL,3,True,False,2,PUL,True,PUL,True,PUL,True,PUL,True,False,False
PUL,3,True,False,3,PUL,True,PUL,True,PUL,True,PUL,True,False,False
